iter	Passed	Remaining
0	8	2557
1	16	2423
2	24	2416
3	32	2393
4	40	2370
5	47	2351
6	55	2330
7	63	2316
8	71	2299
9	76	2226
10	83	2205
11	91	2195
12	99	2187
13	106	2182
14	114	2173
15	122	2171
16	130	2164
17	137	2158
18	145	2152
19	153	2146
20	161	2151
21	170	2152
22	178	2145
23	186	2140
24	194	2134
25	201	2124
26	209	2118
27	217	2109
28	224	2097
29	232	2094
30	241	2091
31	248	2084
32	256	2078
33	265	2074
34	272	2065
35	280	2056
36	287	2044
37	295	2036
38	303	2028
39	310	2018
40	318	2009
41	326	2002
42	333	1995
43	342	1992
44	350	1988
45	359	1986
46	367	1980
47	375	1973
48	383	1965
49	392	1961
50	400	1954
51	408	1946
52	416	1940
53	424	1935
54	432	1927
55	440	1918
56	447	1909
57	456	1904
58	463	1894
59	471	1886
60	479	1876
61	486	1867
62	493	1857
63	501	1847
64	508	1839
65	516	1831
66	524	1822
67	531	1814
68	539	1806
69	547	1797
70	554	1789
71	562	1781
72	570	1773
73	578	1767
74	586	1758
75	593	1749
76	601	1741
77	608	1732
78	616	1723
79	623	1714
80	630	1705
81	638	1697
82	645	1688
83	653	1681
84	661	1672
85	668	1663
86	676	1655
87	684	1647
88	691	1639
89	698	1629
90	706	1622
91	714	1615
92	722	1607
93	729	1599
94	737	1591
95	745	1584
96	753	1576
97	760	1568
98	768	1561
99	776	1552
100	784	1544
101	791	1537
102	799	1528
103	806	1519
104	813	1511
105	821	1503
106	829	1495
107	837	1488
108	845	1481
109	853	1474
110	861	1467
111	870	1460
112	877	1452
113	885	1445
114	893	1437
115	901	1430
116	910	1423
117	918	1417
118	926	1409
119	933	1400
120	941	1392
121	948	1384
122	956	1377
123	964	1368
124	972	1361
125	979	1352
126	987	1345
127	995	1337
128	1002	1329
129	1010	1321
130	1017	1312
131	1024	1304
132	1032	1296
133	1040	1288
134	1047	1280
135	1054	1272
136	1062	1263
137	1069	1255
138	1077	1248
139	1086	1241
140	1094	1234
141	1102	1226
142	1109	1218
143	1117	1210
144	1125	1202
145	1132	1194
146	1140	1186
147	1147	1178
148	1155	1171
149	1163	1163
150	1170	1155
151	1178	1147
152	1186	1139
153	1194	1132
154	1201	1124
155	1209	1116
156	1217	1108
157	1224	1100
158	1231	1092
159	1239	1084
160	1247	1076
161	1254	1069
162	1262	1061
163	1270	1053
164	1278	1045
165	1285	1037
166	1293	1030
167	1301	1022
168	1310	1015
169	1317	1007
170	1325	999
171	1332	991
172	1340	983
173	1347	975
174	1354	967
175	1361	959
176	1368	951
177	1376	943
178	1384	935
179	1391	927
180	1398	919
181	1406	911
182	1413	903
183	1419	895
184	1427	887
185	1434	878
186	1441	870
187	1448	863
188	1456	855
189	1464	847
190	1471	839
191	1478	831
192	1486	824
193	1494	816
194	1501	808
195	1508	800
196	1515	792
197	1522	784
198	1530	776
199	1537	768
200	1544	760
201	1551	752
202	1559	745
203	1566	737
204	1574	729
205	1581	721
206	1589	713
207	1596	706
208	1604	698
209	1611	690
210	1618	682
211	1625	674
212	1633	667
213	1640	659
214	1647	651
215	1655	643
216	1662	635
217	1669	628
218	1676	620
219	1684	612
220	1691	604
221	1698	596
222	1705	589
223	1713	581
224	1721	573
225	1728	565
226	1735	558
227	1743	550
228	1751	542
229	1758	535
230	1765	527
231	1772	519
232	1780	511
233	1787	504
234	1794	496
235	1802	488
236	1810	481
237	1817	473
238	1825	465
239	1833	458
240	1841	450
241	1849	443
242	1857	435
243	1865	428
244	1873	420
245	1881	413
246	1889	405
247	1896	397
248	1903	389
249	1911	382
250	1918	374
251	1926	366
252	1932	359
253	1940	351
254	1947	343
255	1955	336
256	1963	328
257	1971	320
258	1978	313
259	1986	305
260	1994	297
261	2001	290
262	2009	282
263	2016	274
264	2023	267
265	2031	259
266	2038	251
267	2045	244
268	2053	236
269	2077	230
270	2085	223
271	2093	215
272	2100	207
273	2107	199
274	2114	192
275	2121	184
276	2129	176
277	2136	169
278	2144	161
279	2151	153
280	2158	145
281	2165	138
282	2173	130
283	2180	122
284	2188	115
285	2195	107
286	2202	99
287	2210	92
288	2217	84
289	2224	76
290	2232	69
291	2239	61
292	2246	53
293	2253	45
294	2261	38
295	2268	30
296	2276	22
297	2283	15
298	2290	7
299	2298	0
